name,rating,user_ratings_total,address,price_level,url
Alibi Bar,4.6,166,"inside Ovolo Hotel, 6 Cowper Wharf Roadway, Woolloomooloo NSW 2011, Australia",2,https://maps.google.com/?cid=15293485483967113206
Et Al. Restaurant,4.6,91,"7/24-30 Springfield Avenue, Entry Via Llankelly Place, Potts Point NSW 2011, Australia",2,https://maps.google.com/?cid=3796703752724161252
Bistro Rex,4.6,366,"50 MacLeay St, Potts Point NSW 2011, Australia",3,https://maps.google.com/?cid=10790593242648531952
Toki Italian Inspired,4.6,177,"63 Crown St, Woolloomooloo NSW 2011, Australia",,https://maps.google.com/?cid=15709094324378505588
Philosophy Cafe,4.6,122,"66 Stanley St, Darlinghurst NSW 2010, Australia",,https://maps.google.com/?cid=16466688035973279886
The Owl House,4.6,176,"292/294 Victoria St, Darlinghurst NSW 2010, Australia",2,https://maps.google.com/?cid=8082310430074390998
Mammas Woodfire Pizza,4.6,135,"2/13 Kirketon Rd, Darlinghurst NSW 2010, Australia",1,https://maps.google.com/?cid=13272537888179414186
The Silly Tart Kitchen,4.6,203,"1 Kellett St, Potts Point NSW 2011, Australia",2,https://maps.google.com/?cid=12661868739745576303
Bei Amici Modern Italian Restaurant,4.6,92,"2B Mona Rd, Darling Point NSW 2027, Australia",2,https://maps.google.com/?cid=15805920945553669315
Raita Noda Chef's Kitchen,4.6,59,"Suite 1/222 Riley St, Surry Hills NSW 2010, Australia",,https://maps.google.com/?cid=10046636800665720078
Yama Gardens,4.6,75,"308-310 Liverpool St, Darlinghurst NSW 2010, Australia",2,https://maps.google.com/?cid=2340571434082136783
Posto No.19,4.6,80,"19A Boundary St, Darlinghurst NSW 2010, Australia",,https://maps.google.com/?cid=16432708620077045346
Latteria,4.6,106,"324 Victoria St, Darlinghurst NSW 2010, Australia",1,https://maps.google.com/?cid=8941948727217800027
Cafe 70,4.6,49,"70 Foveaux St, Sydney NSW 2010, Australia",1,https://maps.google.com/?cid=5433107965801267837
Mr T Restaurant,4.6,45,"Paddington, 239 Glenmore Rd, Sydney NSW 2021, Australia",,https://maps.google.com/?cid=9041901494109531281
Arthouse Kitchen,4.6,49,"Cnr Oxford St &, Greens Rd, Paddington NSW 2021, Australia",,https://maps.google.com/?cid=11953542045884122742
Not Just Coffee,4.6,120,"264 Oxford St, Paddington NSW 2021, Australia",,https://maps.google.com/?cid=12368266872878601274
Restaurant Moon,4.6,160,"346 Liverpool St, Darlinghurst NSW 2010, Australia",2,https://maps.google.com/?cid=1539310526275149559
Don Peppino's,4.6,59,"1 Oxford St, Paddington NSW 2021, Australia",,https://maps.google.com/?cid=16014533887412614828
Son of Frank,4.6,115,"263 Victoria St, Darlinghurst NSW 2010, Australia",2,https://maps.google.com/?cid=16206514178648588245
Saint Peter,4.6,394,"362 Oxford St, Paddington NSW 2021, Australia",3,https://maps.google.com/?cid=16029476155435571307
Prime Steak Restaurant,4.5,428,"Lower Ground Floor, GPO Building, 1 Martin Pl, Sydney NSW 2000, Australia",3,https://maps.google.com/?cid=4275509081758565537
est.,4.5,282,"Level 1/252 George St, Sydney NSW 2000, Australia",4,https://maps.google.com/?cid=15238948185367581670
Frankie's Pizza,4.5,3331,"50 Hunter St, Sydney NSW 2000, Australia",2,https://maps.google.com/?cid=14151765004242058360
Malay Chinese Takeaway,4.5,929,"1/50-58 Hunter St, Sydney NSW 2000, Australia",1,https://maps.google.com/?cid=1879869187748212406
Machiavelli Ristorante Italiano,4.5,307,"123 Clarence St, Sydney NSW 2000, Australia",3,https://maps.google.com/?cid=15066335688358507046
Aria Restaurant Sydney,4.5,1166,"1 Macquarie St, Sydney NSW 2000, Australia",4,https://maps.google.com/?cid=10013779938516686807
Mode Kitchen & Bar,4.5,114,"199 George Street Ground Floor, Sydney NSW 2000, Australia",2,https://maps.google.com/?cid=8458492330674239943
Bennelong Restaurant and Bar,4.5,810,"Bennelong Point Sydney Opera House, Sydney NSW 2000, Australia",4,https://maps.google.com/?cid=2040773854577131763
Blues Point Gourmet Pizzas,4.5,128,"117 Blues Point Rd, McMahons Point NSW 2060, Australia",2,https://maps.google.com/?cid=9401050381415995765
Lavendra,4.5,190,"5 Walker St, Lavender Bay NSW 2060, Australia",2,https://maps.google.com/?cid=876166544828303101
Anchor Cafe & Restaurant,4.5,83,"4/118 Alfred St S, Milsons Point NSW 2061, Australia",1,https://maps.google.com/?cid=3538750918492366238
The Captains Balcony,4.5,339,"46 Erskine St, Sydney NSW 2000, Australia",2,https://maps.google.com/?cid=13867185309041015920
Nama Poke - Erskine Street,4.5,171,"62 Erskine St, Sydney NSW 2000, Australia",,https://maps.google.com/?cid=16013801132006011704
Next Door Restaurant,4.5,116,"33 York Ln, Sydney NSW 2000, Australia",1,https://maps.google.com/?cid=7521115890595916986
LuMi Bar and Dining,4.5,382,"56 Pirrama Rd, Pyrmont NSW 2009, Australia",4,https://maps.google.com/?cid=8568144139016744370
Blue Eye Dragon,4.5,202,"37 Pyrmont St, Pyrmont NSW 2009, Australia",2,https://maps.google.com/?cid=7817802367445983012
Yuzu Restaurant,4.5,96,"7/1 Scott St, Pyrmont NSW 2009, Australia",2,https://maps.google.com/?cid=13293473920673331916
Banh Mi Co,4.5,92,"76 Harris St, Pyrmont NSW 2009, Australia",1,https://maps.google.com/?cid=6455963259687298767
Rosso Pomodoro Balmain,4.5,399,"20-24 Buchanan St, Balmain NSW 2041, Australia",2,https://maps.google.com/?cid=17357102328532312300
Our Place on Darling,4.5,119,"225 Darling St, Balmain NSW 2041, Australia",2,https://maps.google.com/?cid=5800653001509485496
Thip thai restaurant,4.5,51,"69 Union St, McMahons Point NSW 2066, Australia",1,https://maps.google.com/?cid=7435827347949876372
The Restaurant Pendolino,4.5,310,"100/412-414 George Street LEVEL 2 THE STRAND ARCADE, Sydney NSW 2000, Australia",3,https://maps.google.com/?cid=2677238160652972928
Fix Wine Bar + Restaurant,4.5,140,"111 Elizabeth St, Sydney NSW 2000, Australia",3,https://maps.google.com/?cid=3555692991704027883
Bambini Trust,4.5,293,"St. James Trust Building, 185 Elizabeth St, Sydney NSW 2000, Australia",3,https://maps.google.com/?cid=9872229441335738165
Nur Muhammad Cafe,4.5,291,"shop 2/1-27 Murray St, Pyrmont NSW 2009, Australia",1,https://maps.google.com/?cid=7703305953256261361
The Galley at Sydney Boathouse,4.5,43,"2 Waterways Court, Rozelle NSW 2039, Australia",,https://maps.google.com/?cid=12965007309264048111
Mazzaro Restaurant,4.5,88,"271-279 Elizabeth St, Sydney NSW 2000, Australia",2,https://maps.google.com/?cid=12110068851445794337
Glebe Point Diner,4.5,189,"407 Glebe Point Rd, Glebe NSW 2037, Australia",3,https://maps.google.com/?cid=7798637362929009358
The Spot,4.5,67,"367 Glebe Point Rd, Sydney NSW 2037, Australia",1,https://maps.google.com/?cid=7903826298128820089
Pizzeria Da Alfredo,4.5,388,"331 Glebe Point Rd, Glebe NSW 2037, Australia",2,https://maps.google.com/?cid=16129709384742759498
NOMAD,4.5,1161,"16 Foster St, Surry Hills NSW 2010, Australia",3,https://maps.google.com/?cid=16205943583499295165
Red Lemon Thai Cafe,4.5,127,"637 Harris St, Ultimo NSW 2007, Australia",,https://maps.google.com/?cid=11574576409510100096
Different Drummer Bar,4.5,319,"185 Glebe Point Rd, Glebe NSW 2037, Australia",2,https://maps.google.com/?cid=6968424862021909822
Descanso,4.5,86,"1/197 Glebe Point Rd, Glebe NSW 2037, Australia",,https://maps.google.com/?cid=4519909886187225304
Pho Hanoi Pho,4.5,241,"231 Glebe Point Rd, Glebe NSW 2037, Australia",1,https://maps.google.com/?cid=18212076732430680082
Na Zdrowie,4.5,257,"161 Glebe Point Rd, Glebe NSW 2037, Australia",2,https://maps.google.com/?cid=6123422582451540086
The Charleston,4.5,97,"199 Glebe Point Rd, Glebe NSW 2037, Australia",1,https://maps.google.com/?cid=16246430963087110369
Saint John Espresso,4.5,129,"1/73 St Johns Rd, Glebe NSW 2037, Australia",2,https://maps.google.com/?cid=111022661372919030
Lotus Story,4.5,111,"1-3 Smail St, Ultimo NSW 2007, Australia",,https://maps.google.com/?cid=17828850489382868909
The Apprentice Restaurant Sydney,4.5,79,"731-695 Harris St, Ultimo NSW 2007, Australia",1,https://maps.google.com/?cid=8374831664154803536
Tommy's Beer Cafe,4.5,652,"123 Glebe Point Rd, Glebe NSW 2037, Australia",2,https://maps.google.com/?cid=6349529634389769707
Despana,4.5,145,"101 Glebe Point Rd, Glebe NSW 2037, Australia",2,https://maps.google.com/?cid=11140805835238210758
Allfine Chinese Cuisine House,4.5,48,"35A Ross St, Forest Lodge NSW 2037, Australia",1,https://maps.google.com/?cid=2490670326333069775
Pizza Boccone,4.5,307,"Shop/11 Llankelly Pl, Potts Point NSW 2011, Australia",2,https://maps.google.com/?cid=11767431788444394535
Gypsy Espresso Potts Point,4.5,172,"6/81 MacLeay St, Potts Point NSW 2011, Australia",2,https://maps.google.com/?cid=1055078541438264719
"Love, Tilly Devine",4.5,186,"91 Crown Ln, Darlinghurst NSW 2010, Australia",2,https://maps.google.com/?cid=17676275918968510653
Vizio Caffeé Cucina,4.5,409,"1/52-58 William St, Woolloomooloo NSW 2011, Australia",1,https://maps.google.com/?cid=13444426424868243837
Wings And Tins,4.5,563,"2 Chapel St, Darlinghurst NSW 2010, Australia",1,https://maps.google.com/?cid=15331143774868674355
Gin Im Thai,4.5,65,"199 Darlinghurst Rd, Darlinghurst NSW 2010, Australia",,https://maps.google.com/?cid=9813476220811490628
Plateia Where Friends Meet,4.5,106,"5/2-14 Bayswater Rd, Potts Point NSW 2011, Australia",2,https://maps.google.com/?cid=10782695056689584526
Osaka Bar,4.5,130,"Shop/50 Llankelly Pl, Potts Point NSW 2011, Australia",2,https://maps.google.com/?cid=9357696419876941390
Cafe Black Bay,4.5,47,"86-88 Bayswater Rd, Rushcutters Bay NSW 2011, Australia",2,https://maps.google.com/?cid=10580174950102150612
Dumplings & Beer,4.5,225,"9 Ward Ave, Potts Point NSW 2011, Australia",,https://maps.google.com/?cid=10578087815929087939
Lucio Pizzeria,4.5,396,"248 Palmer St, Darlinghurst NSW 2010, Australia",2,https://maps.google.com/?cid=13119328455199745973
Claire's Kitchen at le Salon,4.5,190,"35 Oxford St, Surry Hills NSW 2010, Australia",2,https://maps.google.com/?cid=17266344502805490947
A Tavola Darlinghurst,4.5,376,"348 Victoria St, Darlinghurst NSW 2010, Australia",3,https://maps.google.com/?cid=13070762756261981039
Black Bottle,4.5,110,"Shop 2/118-116 Darlinghurst Rd, Darlinghurst NSW 2010, Australia",1,https://maps.google.com/?cid=6984635207033585418
Casoni,4.5,270,"371-373 Bourke St, Darlinghurst NSW 2010, Australia",2,https://maps.google.com/?cid=10199267070077096431
Thai Nesia Restaurant,4.5,152,"243 Oxford St, Darlinghurst NSW 2010, Australia",2,https://maps.google.com/?cid=8268493093175314162
Lumiere Cafe,4.5,203,"13/425 Bourke St, Surry Hills NSW 2010, Australia",2,https://maps.google.com/?cid=14248605929209630565
South Dowling Sandwiches,4.5,189,"377 S Dowling St, Darlinghurst NSW 2010, Australia",1,https://maps.google.com/?cid=17584351806131148527
Lucio's Italian Restaurant,4.5,163,"47 Windsor St, Paddington NSW 2021, Australia",1,https://maps.google.com/?cid=8971815223857945100
10WilliamSt,4.5,241,"10 William St, Paddington NSW 2021, Australia",3,https://maps.google.com/?cid=7341751343971963950
Paddington Alimentari,4.5,129,"2 Hopetoun St, Paddington NSW 2021, Australia",2,https://maps.google.com/?cid=4417515584635209045
Fred's,4.5,291,"380 Oxford St, Paddington NSW 2021, Australia",,https://maps.google.com/?cid=13305131375064491064
