"place_id","name","rating","user_ratings_total","address","website","price_level","url"
"ChIJ448GwSHPsGoRncLifjxLYcM","Cafe Outside The Square",4.7,87,"34 Whitmore Square, Adelaide SA 5000, Australia","https://www.cafeoutsidethesquare.org.au/",1,"https://maps.google.com/?cid=14078616633335792285"
"ChIJR0U16cTOsGoRtBZwWJbTeYM","Fawn Coffee",4.7,85,"269 Gilles St, Adelaide SA 5001, Australia","https://facebook.com/fawncoffee/",2,"https://maps.google.com/?cid=9473835933832844980"
"ChIJl7YbbSbPsGoRQm5fPPCDnb8","Lime 2 Cafe",4.6,40,"70 Light Square, Adelaide SA 5000, Australia","https://www.facebook.com/lime2cafe/",2,"https://maps.google.com/?cid=13807337100416085570"
"ChIJ10-jyCDPsGoRCkV-AaMH7pQ","Market St Cafe",4.6,98,"11 Market St, Adelaide SA 5000, Australia",,2,"https://maps.google.com/?cid=10731523358756586762"
"ChIJg1t_49fOsGoRi_F9lkWKbDA","Delicatessen Kitchen & Bar",4.6,175,"12 Waymouth St, Adelaide SA 5000, Australia","http://delicatessenbar.com.au/",2,"https://maps.google.com/?cid=3489315842787504523"
"ChIJTbr99MXOsGoReaG9JZ3jeME","Coffylosophy",4.6,239,"198A Hutt St, Adelaide SA 5000, Australia","http://www.coffylosophy.com.au/",2,"https://maps.google.com/?cid=13941142910607925625"
"ChIJiRUk8sXOsGoRKL5mX4HD5ic","Ballaboosta",4.6,494,"289 Halifax St, Adelaide SA 5000, Australia","http://www.ballaboosta.com.au/",2,"https://maps.google.com/?cid=2875200372541406760"
"ChIJ64vmaSXPsGoR_DB0Gg8YIvY","Levant",4.6,73,"252 Hindley St, Adelaide SA 5000, Australia",,,"https://maps.google.com/?cid=17735764735685832956"
"ChIJ6RHt0SnPsGoRrM8pq3Vsqoo","La Moka",4.6,170,"16 Peel St, Adeialde SA 5000, Australia","https://web.facebook.com/La-Moka-1443551049232132/?_rdr",2,"https://maps.google.com/?cid=9991917975913484204"
"ChIJ_____9vOsGoRraxGtOoIxys","Levant Eatery",4.6,87,"252 Hindley St, Adelaide SA 5000, Australia",,,"https://maps.google.com/?cid=3154499868136221869"
