Name,Price Level,Rating,Reviews,Map,Address
Fogata Bar & Restaurant,2,4.6,285,https://maps.google.com/?cid=10834406028408399138,"2/79 James St, New Farm QLD 4006, Australia"
Fresh Sushi Co,,4.6,68,https://maps.google.com/?cid=14999714681012747531,"c09/22 James St, Fortitude Valley QLD 4006, Australia"
Gerards Bistro,3,4.5,439,https://maps.google.com/?cid=6837077410961535330,"14/15 James St, Fortitude Valley QLD 4006, Australia"
Tippler's Tap,2,4.5,110,https://maps.google.com/?cid=10873468209317281281,"2/70 James St, Fortitude Valley QLD 4006, Australia"
