name,rating,user_ratings_total,address,price_level,url
Green Burger,4.6,167,"240 Smith St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=9947515637217545349
Heartattack and Vine,4.6,395,"329 Lygon St, Carlton VIC 3053, Australia",2,https://maps.google.com/?cid=6531263590469436172
ima Japanese Cafe,4.6,59,"169 Elgin St, Carlton VIC 3053, Australia",,https://maps.google.com/?cid=9492450447495983803
Saba's Ethiopian Restaurant,4.6,213,"328 Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=9654010607759652405
East Meets West Vietnamese Restaurant,4.6,97,"406 Brunswick St, Fitzroy VIC 3065, Australia",1,https://maps.google.com/?cid=4485986905901701276
Mile End Bagels,4.6,336,"14 Johnston St, Fitzroy VIC 3065, Australia",1,https://maps.google.com/?cid=7542186440157436480
Yong Green Food,4.6,346,"421 Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=11522285981276206115
Red Sparrow Pizza,4.6,572,"406 Smith St, Collingwood VIC 3071, Australia",2,https://maps.google.com/?cid=5605238609252437049
Savanna African Restaurant & Cafe,4.6,132,"7 Johnston St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=2463744973183894892
"Matteo's Restaurant, Melbourne",4.6,253,"533 Brunswick Street Melbourne, Fitzroy North VIC 3068, Australia",2,https://maps.google.com/?cid=13747703714307892246
RST Seafood Restaurant,4.6,152,"5 Rae St, Fitzroy North VIC 3068, Australia",3,https://maps.google.com/?cid=2757854893380499769
La Bodega de Andres,4.6,114,"361 Brunswick St, Fitzroy VIC 3065, Australia",1,https://maps.google.com/?cid=8670481993316286089
Moroccan Soup Bar,4.6,651,"183 St Georges Rd, Fitzroy North VIC 3068, Australia",1,https://maps.google.com/?cid=1965005838179022207
Amiconi Restaurant,4.6,206,"359 Victoria St, West Melbourne VIC 3003, Australia",2,https://maps.google.com/?cid=6301915139065561747
Maria`s Trattoria,4.6,127,"122-124 Peel St, North Melbourne VIC 3051, Australia",1,https://maps.google.com/?cid=4244956778433185812
Loving Hut West Melbourne,4.6,121,"185 Victoria St, West Melbourne VIC 3003, Australia",2,https://maps.google.com/?cid=4113853007597248393
Nahm Tao Thai Kitchen,4.6,67,"348 Victoria St, North Melbourne VIC 3051, Australia",,https://maps.google.com/?cid=3806243362047443099
Joe Taylor,4.6,144,"7 Errol St, North Melbourne VIC 3051, Australia",2,https://maps.google.com/?cid=10163683301632119135
Eat Pizza,4.6,179,"55 Flemington Rd, North Melbourne VIC 3051, Australia",1,https://maps.google.com/?cid=7432392479765775038
Joe's Pizza Square,4.6,63,"215 Abbotsford St, North Melbourne VIC 3051, Australia",,https://maps.google.com/?cid=7921305440241827367
SUD Food and Wine,4.6,130,"219 King St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=5344922400420368087
Schmucks Bagels,4.6,266,"Little Bourke St & Guests Ln, Melbourne VIC 3000, Australia",,https://maps.google.com/?cid=5464412035237317738
PERSO Home Style Grill & Kebabs,4.6,154,"15/60 Siddeley St, Docklands VIC 3008, Australia",2,https://maps.google.com/?cid=3632416913679239657
The Espressonist,4.6,109,"108 River Esplanade, Docklands VIC 3008, Australia",,https://maps.google.com/?cid=10246980089294052742
Pho A Gogo,4.6,502,"161 Clarendon St, Southbank VIC 3006, Australia",1,https://maps.google.com/?cid=13738838189175575231
Coe & Coe,4.6,85,"1 Fennell St, Port Melbourne VIC 3207, Australia",1,https://maps.google.com/?cid=7179893564886152059
Bar Carlo,4.6,42,"20 Meyers Pl, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=16394213903550964153
Cumulus Up.,4.6,79,"F1/45 Flinders Ln, Melbourne VIC 3000, Australia",,https://maps.google.com/?cid=13684354683883823524
Roule Galette,4.6,684,"Scott Alley, 237/241 Flinders Ln, Melbourne VIC 3000, Australia",1,https://maps.google.com/?cid=17717258456683855772
Sabai,4.6,160,"460 Church St, Richmond VIC 3121, Australia",2,https://maps.google.com/?cid=7489099173797288998
The Palm Royale,4.6,96,"438 Church St, Richmond VIC 3121, Australia",,https://maps.google.com/?cid=4190931338371053473
Wonderbao,4.5,623,"4/19-37 A'Beckett St, Melbourne VIC 3000, Australia",1,https://maps.google.com/?cid=14246720205631549618
B'Churrasco Brazilian BBQ Restaurant,4.5,850,"61 A'Beckett St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=5618155189949687368
Longrain Restaurant,4.5,645,"40-44 Little Bourke St, Melbourne VIC 3000, Australia",3,https://maps.google.com/?cid=5129487321360592404
Becco,4.5,180,"11-25 Crossley St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=5874345237757228170
Punch Lane Wine Bar & Restaurant,4.5,384,"43 Little Bourke St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=6617768627542284526
SPQR Pizzeria,4.5,619,"26 Liverpool St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=534238531888693071
Sonido,4.5,324,"69 Gertrude St, Fitzroy VIC 3065, Australia",1,https://maps.google.com/?cid=11052529246060257477
Sparrow's Philly Cheesesteaks - Fitzroy (at The Catfish),4.5,242,"30 Gertrude St, Fitzroy VIC 3065, Australia",1,https://maps.google.com/?cid=7704318795807308563
Archie's All Day,4.5,656,"189 Gertrude St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=287250954635895056
Federici Bistro,4.5,71,"163 Spring St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=6289813955966539881
Spring Street Grocer,4.5,224,"157 Spring St, Melbourne VIC 3000, Australia",,https://maps.google.com/?cid=14057028359201813481
Square & Compass,4.5,388,"222 Clarendon St, East Melbourne VIC 3002, Australia",2,https://maps.google.com/?cid=11324294699688332122
Madras Bros.,4.5,247,"129 Smith St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=14157945262974563249
Three Bags Full,4.5,943,"60 Nicholson St, Abbotsford VIC 3067, Australia",2,https://maps.google.com/?cid=2999928809486313822
Tomtoon Thai,4.5,469,"241 Victoria St, Abbotsford VIC 3067, Australia",1,https://maps.google.com/?cid=10583032662157024760
Loosie Grind,4.5,136,"135 Nicholson St, Abbotsford VIC 3067, Australia",1,https://maps.google.com/?cid=5584801685687234389
Donnini's,4.5,290,"320 Lygon St, Carlton VIC 3053, Australia",2,https://maps.google.com/?cid=8422625224250993166
Mon Ami Paris Grill,4.5,66,"144 Nicholson St, Fitzroy VIC 3065, Australia",3,https://maps.google.com/?cid=5665597790916133381
Leonardo's Pizza Palace,4.5,155,"29 Grattan St, Carlton VIC 3053, Australia",2,https://maps.google.com/?cid=11148108175440045165
Blue Chillies,4.5,145,"182 Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=676553577094659346
Alimentari Brunswick Street,4.5,298,"251 Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=10901802687588566033
N & J Thai Restaurant,4.5,46,"261A Smith St, Fitzroy VIC 3065, Australia",1,https://maps.google.com/?cid=4720072230129164285
Faraday's Cage,4.5,446,"325-329 Gore St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=13809674894944706178
Hell of the North,4.5,311,"135 Greeves St, Fitzroy VIC 3065, Australia",3,https://maps.google.com/?cid=15145373061995220212
The Noble Experiment Melbourne,4.5,200,"284 Smith St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=16537105055068013661
Carte Crepe,4.5,77,"University of Melbourne, John Medley Building, Parkville VIC 3052, Australia",1,https://maps.google.com/?cid=6841896415664777907
Abla's,4.5,186,"109 Elgin St, Carlton VIC 3053, Australia",2,https://maps.google.com/?cid=17223384233126319781
Sushi Ten,4.5,108,"178 Rathdowne St, Carlton VIC 3053, Australia",1,https://maps.google.com/?cid=9613180120334956738
The Olive Jar,4.5,200,"168/170 Rathdowne St, Carlton VIC 3053, Australia",2,https://maps.google.com/?cid=16708938848986686525
Madame K's Vegetarian,4.5,186,"367 Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=14228868674170118322
Nyala African Restaurant,4.5,180,"1, 356 Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=14035704312513015611
Marios,4.5,295,"303 Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=9319025255262577394
Afghan Gallery Restaurant,4.5,225,"327 Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=5130190694186914229
Bontempo,4.5,154,"416-418 Brunswick St, Fitzroy VIC 3065, Australia",,https://maps.google.com/?cid=3965990049079698323
Mamanee Thai,4.5,99,"324 Smith St, Collingwood VIC 3066, Australia",1,https://maps.google.com/?cid=5487996759826625437
TONKIN,4.5,107,"346 Smith St, Collingwood VIC 3066, Australia",1,https://maps.google.com/?cid=11593297250074090497
Marquis of Lorne,4.5,409,"411 George St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=3380434199754302299
La Luna Bistro,4.5,303,"320 Rathdowne St, Carlton North VIC 3054, Australia",3,https://maps.google.com/?cid=1993134177596937693
Young Bloods,4.5,43,"60 Rose St, Fitzroy VIC 3065, Australia",,https://maps.google.com/?cid=15091224056408743258
Fagito Cafe,4.5,41,"268 Nicholson St, Fitzroy VIC 3065, Australia",,https://maps.google.com/?cid=2579279545754088427
Girls & Boys,4.5,181,"382A Brunswick St, Fitzroy VIC 3065, Australia",,https://maps.google.com/?cid=732427704334463710
Tahina Fitzroy,4.5,66,"362 Brunswick St, Fitzroy VIC 3065, Australia",,https://maps.google.com/?cid=1925068290697163199
Sibling Cafe,4.5,66,"611 Nicholson St, Carlton North VIC 3054, Australia",,https://maps.google.com/?cid=9381448790489079067
Citrico,4.5,68,"376 Queens Parade, Fitzroy North VIC 3068, Australia",,https://maps.google.com/?cid=8552114019027520028
Cookshop Rotisserie,4.5,73,"392 Queens Parade, Fitzroy North VIC 3068, Australia",1,https://maps.google.com/?cid=7625331030130272082
Osteria Italiana,4.5,173,"201 Queens Parade, Fitzroy North VIC 3068, Australia",2,https://maps.google.com/?cid=17890695472052383613
BBQ Brothers10,4.5,440,"589 Elizabeth St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=5955688327199094987
Chimac The Korean Bistro,4.5,64,"1/39-47 Peel St, West Melbourne VIC 3003, Australia",2,https://maps.google.com/?cid=7767006173156601446
Mahn Doo,4.5,286,"365 La Trobe St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=18162803844513779463
Yeonga Korean BBQ Restaurant,4.5,636,"1 Cobden St, North Melbourne VIC 3051, Australia",2,https://maps.google.com/?cid=15439246665595631315
Hello José,4.5,193,"85 Peel St, West Melbourne VIC 3003, Australia",2,https://maps.google.com/?cid=2241065969060580117
Duke Pizza,4.5,132,"1/660 Elizabeth St, Melbourne VIC 3000, Australia",,https://maps.google.com/?cid=15958808393433560546
NEMO,4.5,95,"6/33 Blackwood St, North Melbourne VIC 3051, Australia",,https://maps.google.com/?cid=34528113842001055
Saha Thai Cafe,4.5,62,"431 Macaulay Rd, Kensington VIC 3031, Australia",1,https://maps.google.com/?cid=5810776216035607072
Flower Drum Restaurant Melbourne,4.5,676,"17 Market Ln, Melbourne VIC 3000, Australia",3,https://maps.google.com/?cid=17618300929407951593
Japanese Teppanyaki Inn,4.5,218,"182 Collins St, Melbourne VIC 3000, Australia",3,https://maps.google.com/?cid=16099823696305865166
Gopals Pure Vegetarian,4.5,722,"139 Swanston St, Melbourne VIC 3000, Australia",1,https://maps.google.com/?cid=16852509672518439501
11 Inch Pizza Melbourne CBD,4.5,443,"5B 359/353 Little Collins St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=8130189303077944556
Bergerac Restaurant,4.5,143,"Grd Flr, 555 Lonsdale St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=3489478111739734209
Scugnizzo,4.5,161,"558 Little Bourke St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=5625506213877515883
Back Pocket,4.5,46,"3/535 Little Lonsdale St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=5874468432049064570
Claypots Barbarossa,4.5,237,"79 Hardware Ln, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=4099204816803734343
Mr. Nice Guy Restaurant,4.5,209,"10 Healeys Ln, Melbourne VIC 3000, Australia",,https://maps.google.com/?cid=4588704037176946361
Angliss Restaurant,4.5,85,"550 Little Lonsdale St, Melbourne VIC 3000, Australia",,https://maps.google.com/?cid=15230600288913205596
Hanabishi Japanese Restaurant,4.5,161,"187 King St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=3792178282328971713
Ichimaki,4.5,65,"313 Spencer St, Docklands VIC 3008, Australia",1,https://maps.google.com/?cid=2127663804703868148
MoVida,4.5,1093,"1 Hosier Ln, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=447232392842222356
Maha,4.5,926,"21 Bond St, Melbourne VIC 3000, Australia",3,https://maps.google.com/?cid=583443337823702668
Syracuse Restaurant & Winebar Melbourne CBD,4.5,198,"23 Bank Pl, Melbourne VIC 3000, Australia",3,https://maps.google.com/?cid=18069273234477440404
Little Brother,4.5,115,"429 Little Collins St, Melbourne VIC 3000, Australia",1,https://maps.google.com/?cid=4899017586276560631
Kinfolk,4.5,530,"673 Bourke St, Melbourne VIC 3000, Australia",1,https://maps.google.com/?cid=5476114476195396603
Chick-In,4.5,294,"g23/620 Collins St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=18339212626079505133
Espresso Hub,4.5,43,"655 Collins St, Docklands VIC 3008, Australia",,https://maps.google.com/?cid=5370743704928084223
Pita Pit,4.5,85,"838 Bourke St, Docklands VIC 3008, Australia",,https://maps.google.com/?cid=341141677254837562
Saluministi,4.5,256,"892 Bourke St, Docklands VIC 3008, Australia",2,https://maps.google.com/?cid=17313015157816819551
5 & Dime Bagel,4.5,292,"16 Katherine Pl, Melbourne VIC 3000, Australia",,https://maps.google.com/?cid=5688867728286871437
Pizze Societe,4.5,186,"2 S Wharf Dr, Docklands VIC 3008, Australia",,https://maps.google.com/?cid=12067836834120657514
8 Miles Cafe & Convenience Store,4.5,76,"8 Miles St, Southbank VIC 3006, Australia",1,https://maps.google.com/?cid=4075399826098068180
Il Solito Posto,4.5,636,"Basement, 113 Collins St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=988942497820300947
Bar Lourinhã,4.5,335,"37 Little Collins St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=12868292305656815109
San Telmo,4.5,1072,"14 Meyers Pl, Melbourne VIC 3000, Australia",3,https://maps.google.com/?cid=10351596201693343907
Kenzan Japanese Restaurant,4.5,283,"Collins Place, 45 Collins St, Melbourne VIC 3000, Australia",,https://maps.google.com/?cid=8684395670740712279
Pizza Pizza Pizza,4.5,368,"16 Meyers Pl, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=11808976125395426511
East Melbourne General Store,4.5,58,"53 Hotham St, East Melbourne VIC 3002, Australia",,https://maps.google.com/?cid=7529978304554565298
Harley House Bar and Grill,4.5,377,"Basement/71 Collins St, Melbourne VIC 3000, Australia",,https://maps.google.com/?cid=9542914722431361961
Bedggood & Co,4.5,117,"137 Wellington Parade S, East Melbourne VIC 3002, Australia",2,https://maps.google.com/?cid=12711093901923844054
A Hereford Beefstouw,4.5,515,"22 Duckboard Pl, Melbourne VIC 3000, Australia",3,https://maps.google.com/?cid=4056220347341882629
Pastuso,4.5,1207,"19 AC/DC La, Melbourne VIC 3000, Australia",3,https://maps.google.com/?cid=4870444129285388693
Bowery To Williamsburg,4.5,929,"16 Oliver Ln, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=13786467291105610576
The Tippler & Co.,4.5,180,"58 Wellington Parade, East Melbourne VIC 3002, Australia",2,https://maps.google.com/?cid=3941414371467625234
Geppetto Trattoria,4.5,191,"78A Wellington Parade, East Melbourne VIC 3002, Australia",2,https://maps.google.com/?cid=804231163669359060
14 Bridge,4.5,110,"14 Bridge Rd, Richmond VIC 3121, Australia",,https://maps.google.com/?cid=3201593890194145953
Beer and Burger Bar,4.5,764,"112 Swan St, Richmond VIC 3121, Australia",2,https://maps.google.com/?cid=1667981871594491502
Macelleria Richmond,4.5,387,"87/89 Swan St, Richmond VIC 3121, Australia",2,https://maps.google.com/?cid=17707083253185611421
Ms Frankie,4.5,131,"24 Cremorne St, Cremorne VIC 3121, Australia",2,https://maps.google.com/?cid=16966015379079037451
Bahari | The Hellenic Palate,4.5,252,"179 Swan St, Melbourne VIC 3121, Australia",2,https://maps.google.com/?cid=4906965061190268808
1090 Burger,4.5,294,"181A Swan St, Richmond VIC 3121, Australia",,https://maps.google.com/?cid=15354557608286915242
