Name,Rating,Number of Reviews,Ranking,Address,Website,Type,Tag
NOLA Craft Beer & Whiskey,4.6,769,3537.4,"28 Vardon Ave, Adelaide SA 5000, Australia",http://www.nolaadelaide.com/,Bar,
Bread & Bone,4.5,768,3456,"15 Peel St, Adelaide SA 5000, Australia",http://www.breadandbone.com.au/,Restaurant,
Little Bang Brewing Company,4.7,575,2702.5,"25 Henry St, Stepney SA 5069, Australia",http://littlebang.com.au/,Bar,
Osteria Oggi,4.6,562,2585.2,"76 Pirie St, Adelaide SA 5000, Australia",http://osteriaoggi.com.au/,Restaurant,Italian
Pondok Daun Restaurant,4.5,513,2308.5,"94 Currie St, Adelaide SA 5000, Australia",https://www.facebook.com/PondokDaunADL,Restaurant,Indonisa
Chianti,4.6,494,2272.4,"160 Hutt St, Adelaide SA 5000, Australia",http://www.chianti.net.au/,Restaurant,Italian
Ballaboosta,4.5,493,2218.5,"289 Halifax St, Adelaide SA 5000, Australia",http://www.ballaboosta.com.au/,Restaurant,Pizza
Golden Boy,4.6,459,2111.4,"309 North Terrace, Adelaide SA 5000, Australia",http://golden-boy.com.au/,Restaurant,Thailand
Africola,4.5,452,2034,"4 East Terrace, Adelaide SA 5000, Australia",http://www.africola.com.au/,Restaurant,Africa
Enzo's Ristorante,4.6,432,1987.2,"46 Port Rd, Hindmarsh SA 5007, Australia",http://www.enzosristorante.com.au/,Restaurant,Italian
Parwana Afghan Kitchen,4.6,429,1973.4,"124B Henley Beach Rd, Torrensville SA 5031, Australia",http://www.parwana.com.au/,Restaurant,Persia
Peel St,4.7,419,1969.3,"9 Peel St, Adelaide SA 5000, Australia",http://www.peelst.com.au/,Restaurant,Australian
Andre's Cucina & Polenta Bar,4.5,427,1921.5,"94 Frome St, Adelaide SA 5000, Australia",http://www.andrescucina.com.au/,Restaurant,Italian
Raj on Taj Hyde Park,4.6,384,1766.4,"109 King William Rd, Unley SA 5061, Australia",http://www.rajontajhydepark.com/,Restaurant,Indian
Press* Food & Wine,4.6,370,1702,"40 Waymouth St, Adelaide SA 5000, Australia",http://www.pressfoodandwine.com.au/,Restaurant,
Georges on Waymouth,4.5,375,1687.5,"20 Waymouth St, Adelaide SA 5000, Australia",http://www.georgesonwaymouth.com.au/,Restaurant,Mediterranean
Sneaky Pickle,4.6,361,1660.6,"94 Goodwood Rd, Goodwood SA 5034, Australia",http://www.sneakypickle.com.au/,Restaurant,Barbecue
Marrakech Restaurant,4.7,334,1569.8,"91 O'Connell St, North Adelaide SA 5006, Australia",https://www.marrakechrestaurant.com.au/,Restaurant,Morocco
La Rambla Tapas Bar,4.5,348,1566,"28 Peel St, Adelaide SA 5000, Australia",http://laramblatapas.com.au/,Restaurant,Spanish
Sushi Train,4.5,346,1557,"Central Market Arcade 34, Adelaide SA 5000, Australia",http://www.sushitrain.com.au/,Restaurant,Sushi
Concubine,4.5,338,1521,"132 Gouger St, Adelaide SA 5000, Australia",http://concubine.com.au/,Restaurant,China
Gin Long Canteen,4.5,323,1453.5,"42 O'Connell St, North Adelaide SA 5006, Australia",http://www.ginlongcanteen.com.au/,Restaurant,Asia
New India Restaurant,4.5,319,1435.5,"167 Hindley St, Adelaide SA 5000, Australia",http://www.newindiarestaurant.com.au/,Restaurant,Indian
Udaberri Pintxos Y Vino,4.6,307,1412.2,"11-13 Leigh St, Adelaide SA 5000, Australia",http://www.udaberri.com.au/,Restaurant,Spanish
CLICH� EXHIBITION,4.5,311,1399.5,"26 O'Connell St, North Adelaide SA 5006, Australia",http://winklergallery.com/,Restaurant,
Two-Bit Villains,4.5,292,1314,"Adelaide Arcade, 150 Rundle Mall, Adelaide SA 5000, Australia",http://www.two-bitvillains.com/,Restaurant,Vegetarian
Sunny's Pizza,4.6,277,1274.2,"17 Solomon St, Adelaide SA 5000, Australia",http://www.sunnys.pizza/,Bar,
Bai Long Store,4.6,264,1214.4,"80 Hutt St, Adelaide SA 5000, Australia",https://www.bailong.store/,Restaurant,Asia
Borsa Pasta Cucina,4.6,254,1168.4,"1/25 Grenfell St, Adelaide SA 5000, Australia",http://www.borsapastacucina.com/,Restaurant,Italian
Kaffana,4.5,259,1165.5,"27 Gilbert Pl, Adelaide SA 5000, Australia",http://www.kaffana.com.au/,Restaurant,Serbia
La Tombola Italian Restaurant,4.6,252,1159.2,"61 Unley Rd, Parkside SA 5063, Australia",http://www.latombola.com.au/,Restaurant,Italian
Pizza e Mozzarella Bar,4.6,240,1104,"33 Pirie St, Adelaide SA 5000, Australia",http://pizzaemozzarellabar.com.au/,Restaurant,Pizza
Coffylosophy,4.6,239,1099.4,"198A Hutt St, Adelaide SA 5000, Australia",http://www.coffylosophy.com.au/,Coffee,
Nu Thai Restaurant,4.5,237,1066.5,"228 Morphett St, Adelaide SA 5000, Australia",https://nuthai.com.au/,Restaurant,Thailand
Louca's Seafood Restaurant,4.5,237,1066.5,"242 Pulteney St, Adelaide SA 5000, Australia",http://loucasseafoodrestaurant.com.au/,Restaurant,Sea food
Apothecary 1878,4.6,215,989,"118 Hindley St, Adelaide SA 5000, Australia",http://www.theapothecary1878.com.au/,Restaurant,Cocktail
PIXIE AND THE HAWK,4.8,204,979.2,"144 Henley Beach Rd, Torrensville SA 5031, Australia",https://www.facebook.com/pixieandthehawk/menu/,Coffee,
B'Churrasco Brazilian BBQ Restaurant Adelaide,4.8,203,974.4,"12 East Terrace, Adelaide SA 5000, Australia",http://bchurrasco.com.au/adelaide,Restaurant,Steak
